"PMID"	"DOI"	"Year"	"Category"	"Relevance"	"Title"	"AbstractBrief"
"42359924"	"10.1111/nicc.70561"	"2026"	"护理不良事件报告/患者安全"	"中"	"Implementation of Graded Intra-Hospital Transport Protocols for ICU Patients in Southwest China: A Multicentre Cross Sectional Survey."	"BACKGROUND: Intra-hospital transport of critically ill patients is a high-risk process. Although graded transport is recommended to improve safety, evidence on its implementation in southwestern China is limited. AIM: To describe graded intra-hospital transport implementation in ICUs in southwestern China and examine associated factors. STUDY DESIGN: This wa..."
"42354585"	"10.3390/healthcare14121727"	"2026"	"护理不良事件报告/患者安全"	"中"	"Factors of the Nursing Practice Environment Shaping Nurses' Perceived Benefits of Adverse Event Reporting: A Cross-Sectional Study Among Primary Healthcare Nurses."	"Adverse event reporting is a critical component of patient safety systems; however, nurses' engagement in reporting is influenced not only by reporting procedures but also by broader organizational characteristics of the nursing practice environment. Although previous studies have examined reporting behaviors in various healthcare settings, limited evidence ..."
"42295693"	"10.1007/s43440-026-00873-3"	"2026"	"药物警戒/ADR上报"	"高"	"Italian regional data and oropharyngeal adverse events to drugs and vaccines: insights from a 3-year spontaneous reporting (2022-2024)."	"BACKGROUND: Oropharyngeal adverse events (O-AEs) represent a potential safety concern associated with several drugs and/or vaccines. Although often underestimated, these events may provide valuable insights into a patient's overall clinical condition, appearing initially mild but later worsening. Therefore, this study aimed to analyze O-AEs related to drugs ..."
"42274832"	"10.1007/s10916-026-02423-z"	"2026"	"护理不良事件报告/患者安全"	"中"	"Feasibility Evaluation of a Standalone Virtual Reality System for Neonatal Resuscitation Training."	"Maintaining competency in neonatal resuscitation requires repeated practice. However, equipment costs, space, and instructor availability constrain mannequin-based simulation. Standalone virtual reality (VR) training may improve access. This study aimed to evaluate the feasibility, acceptability, and safety of a standalone VR-based neonatal resuscitation tra..."
"42270105"	"10.1136/bmjopen-2025-107828"	"2026"	"药物警戒/ADR上报"	"高"	"Driving factors and barriers to irrational antibiotic prescribing in Pakistan: a qualitative study of physicians', pharmacists' and nurses' perspectives in public and private hospitals."	"BACKGROUND: Irrational prescribing is a major global health concern, contributing significantly to increased morbidity, mortality and antimicrobial resistance (AMR). Despite existing knowledge and awareness, irrational antibiotic use remains prevalent among healthcare professionals. OBJECTIVES: This qualitative study aimed to explore the contributing factors..."
"42259568"	"10.1136/bmjopen-2026-119277"	"2026"	"护理不良事件报告/患者安全"	"中"	"Analysis of factors associated with severity categories of fall-related injuries among inpatients at a tertiary grade A hospital in Zhejiang province from 2015 to 2025: a retrospective observational study."	"OBJECTIVES: Understanding the factors associated with the severity categories of fall-related injuries and intervening on modifiable determinants can mitigate the risk of serious fall injuries, thereby enhancing patient safety, reducing length of hospital stay and alleviating the economic burden imposed by these injuries. This study aims to identify factors ..."
"42259555"	"10.1136/bmjopen-2026-117632"	"2026"	"用药安全/合理用药"	"中-高"	"Auricular Point Acupressure Self-Management (APA-SM) program for chronic musculoskeletal pain among rural populations: a protocol for a pragmatic, randomized controlled trial."	"INTRODUCTION: Chronic musculoskeletal pain (CMP) is a leading cause of incurred personal healthcare costs and disability in the USA. It disproportionately affects rural populations, who are more likely to be uninsured, lack access to a regular healthcare provider and experience a higher prevalence of CMP. As a result of reduced access to non-pharmacological ..."
"42242288"	"10.1002/bcp.70633"	"2026"	"药物警戒/ADR上报"	"高"	"Awareness of the Black Triangle Scheme among healthcare professionals and consumers in Australia: A mixed-methods study exploring reporting intentions and suggested improvements."	"AIMS: The Black Triangle Scheme, introduced in 2018 in Australia, does not appear to have increased the quantity of adverse drug event (ADE) reports. This study evaluated healthcare professionals' (HCPs') and consumers' awareness of the scheme, its influence on intentions for future ADE reporting, and suggested improvements. METHODS: A mixed-methods study wa..."
"42250983"	"10.1016/j.sapharm.2026.06.001"	"2026"	"药物警戒/ADR上报"	"高"	"Psychological need satisfaction and adverse drug reaction reporting intention: An integrated model among healthcare professionals."	"BACKGROUND: Underreporting of adverse drug reactions (ADRs) remains a major challenge in pharmacovigilance systems worldwide. Understanding the psychological and behavioral determinants of reporting intention may inform more effective interventions. OBJECTIVE: This study aimed to examine behavioral and psychological determinants influencing ADR reporting int..."
"42214618"	"10.1016/j.rceng.2026.502577"	"2026"	"药物警戒/ADR上报"	"高"	"Notification of suspected adverse drug reactions by nurses to a hospital pharmacovigilance program. Retrospective descriptive study."	"INTRODUCTION: Adverse drug reactions (ADR) are a common cause of illness. The Spontaneous reporting of adverse drug reactions is essential to characterize drug toxicity. Nurses, due to their proximity to patients, can contribute to detect them. The purpose is to describe the number of notifications of adverse drug reactions from nurses after a set of actions..."
